group,name,auroc,f1,bal_acc,acc,pr_auc
ffpp_test_per_model,baseline_effnet_b0,0.9263,0.9117,0.8464,0.8642,0.9807
ffpp_test_per_model,main_xception,0.904,0.9117,0.8052,0.8608,0.9705
ffpp_test_per_model,main_effnet_b3,0.9265,0.9265,0.8531,0.885,0.9789
ffpp_test_per_manipulation,Deepfakes,0.9295,0.8374,0.8333,0.8333,0.9369
ffpp_test_per_manipulation,Face2Face,0.9632,0.8806,0.8729,0.8729,0.9671
ffpp_test_per_manipulation,FaceSwap,0.9599,0.8828,0.875,0.875,0.9624
ffpp_test_per_manipulation,NeuralTextures,0.881,0.8058,0.8063,0.8063,0.8936
primary_tta,main_effnet_b3,0.9326,0.917,0.8495,0.8717,0.9822
primary_snapshot_ensemble,main_effnet_b3,0.9351,0.9141,0.8568,0.8683,0.9829
celebdf_zero_shot,main_effnet_b3,0.8087,0.755,0.729,0.729,0.7845
robustness,clean,0.9334,0.9159,0.8469,0.87,0.9825
robustness,jpeg_q75,0.9142,0.8985,0.8266,0.845,0.9761
robustness,jpeg_q50,0.8832,0.8669,0.8,0.8025,0.9679
robustness,jpeg_q30,0.8648,0.842,0.7698,0.7692,0.9609
robustness,noise_s10,0.8551,0.8471,0.7688,0.775,0.9589
robustness,noise_s25,0.686,0.7018,0.6333,0.6033,0.8778
robustness,blur_k5,0.892,0.7783,0.7818,0.7033,0.9699
robustness,downscale_0_5,0.8979,0.8464,0.8005,0.7783,0.9711
